,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
79,0,"('AS', 'DA', 'DB', 'SAB', 'VA', 'VB')",6,294,"[(92, 0.7), (92, 0.8), (92, 0.9), (92, 1.0), (92, 1.1), (92, 1.2), (92, 1.3), (92, 1.4), (92, 1.5), (92, 1.6), (92, 1.8), (92, 1.9), (92, 2.0), (92, 2.1), (92, 2.2), (92, 2.3), (92, 2.4), (92, 2.5), (92, 2.6), (92, 2.7), (92, 2.8), (92, 2.9), (92, 3.0), (46, 0.5), (46, 0.6), (46, 0.7), (46, 0.8), (46, 0.9), (46, 1.0), (46, 1.1), (46, 1.2), (46, 1.3), (46, 1.4), (46, 1.5), (46, 1.6), (46, 1.7), (46, 1.8), (46, 1.9), (46, 2.0), (46, 2.1), (46, 2.2), (46, 2.3), (46, 2.4), (46, 2.5), (46, 2.6), (46, 2.7), (46, 2.8), (46, 2.9), (46, 3.0), (31, 0.4), (31, 0.5), (31, 0.6), (31, 0.8), (31, 0.9), (31, 1.0), (31, 1.1), (31, 1.2), (31, 1.3), (31, 1.4), (31, 1.5), (31, 1.6), (31, 1.7), (31, 1.8), (31, 1.9), (31, 2.0), (31, 2.1), (31, 2.2), (31, 2.3), (31, 2.4), (31, 2.6), (31, 2.7), (31, 2.8), (31, 2.9), (31, 3.0), (23, 0.3), (23, 0.4), (23, 0.5), (23, 0.6), (23, 0.7), (23, 0.8), (23, 0.9), (23, 1.0), (23, 1.1), (23, 1.3), (23, 1.4), (23, 1.5), (23, 1.6), (23, 1.7), (23, 1.8), (23, 2.1), (23, 2.3), (23, 2.4), (23, 2.5), (23, 2.7), (23, 2.9), (23, 3.0), (18, 0.2), (18, 0.4), (18, 0.5), (18, 0.6), (18, 0.7), (18, 0.8), (18, 0.9), (18, 1.0), (18, 1.1), (18, 1.2), (18, 1.4), (18, 1.6), (18, 1.7), (18, 1.8), (18, 1.9), (18, 2.0), (18, 2.1), (18, 2.3), (18, 2.4), (18, 2.5), (18, 2.6), (18, 2.7), (18, 2.8), (18, 2.9), (18, 3.0), (15, 0.2), (15, 0.3), (15, 0.4), (15, 0.5), (15, 0.6), (15, 0.7), (15, 0.8), (15, 0.9), (15, 1.0), (15, 1.1), (15, 1.2), (15, 1.3), (15, 1.4), (15, 1.5), (15, 1.6), (15, 1.7), (15, 1.8), (15, 1.9), (15, 2.0), (15, 2.1), (15, 2.2), (15, 2.3), (15, 2.4), (15, 2.5), (15, 2.6), (15, 2.7), (15, 2.8), (15, 2.9), (15, 3.0), (13, 0.2), (13, 0.3), (13, 0.4), (13, 0.5), (13, 0.6), (13, 0.7), (13, 0.8), (13, 0.9), (13, 1.0), (13, 1.1), (13, 1.2), (13, 1.3), (13, 1.4), (13, 1.5), (13, 1.6), (13, 1.7), (13, 1.8), (13, 1.9), (13, 2.0), (13, 2.1), (13, 2.2), (13, 2.3), (13, 2.4), (13, 2.5), (13, 2.6), (13, 2.7), (13, 2.8), (13, 2.9), (13, 3.0), (12, 0.2), (12, 0.3), (12, 0.4), (12, 0.5), (12, 0.6), (12, 0.7), (12, 0.8), (12, 0.9), (12, 1.0), (12, 1.1), (12, 1.2), (12, 1.3), (12, 1.5), (12, 1.6), (12, 1.7), (12, 1.8), (12, 1.9), (12, 2.0), (12, 2.1), (12, 2.2), (12, 2.3), (12, 2.4), (12, 2.5), (12, 2.6), (12, 2.7), (12, 2.8), (12, 2.9), (12, 3.0), (10, 0.2), (10, 0.3), (10, 0.4), (10, 0.5), (10, 0.6), (10, 0.7), (10, 0.8), (10, 0.9), (10, 1.0), (10, 1.1), (10, 1.2), (10, 1.3), (10, 1.4), (10, 1.5), (10, 1.6), (10, 1.7), (10, 1.8), (10, 1.9), (10, 2.0), (10, 2.1), (10, 2.2), (10, 2.3), (10, 2.4), (10, 2.5), (10, 2.6), (10, 2.7), (10, 2.8), (10, 2.9), (10, 3.0), (9, 0.2), (9, 0.3), (9, 0.4), (9, 0.5), (9, 0.6), (9, 0.7), (9, 0.8), (9, 0.9), (9, 1.0), (9, 1.1), (9, 1.2), (9, 1.3), (9, 1.4), (9, 1.5), (9, 1.6), (9, 1.7), (9, 1.8), (9, 1.9), (9, 2.0), (9, 2.1), (9, 2.2), (9, 2.3), (9, 2.4), (9, 2.5), (9, 2.6), (9, 2.7), (9, 2.8), (9, 2.9), (9, 3.0), (8, 0.2), (8, 0.3), (8, 0.4), (8, 0.5), (8, 0.6), (8, 0.7), (8, 0.8), (8, 0.9), (8, 1.0), (8, 1.1), (8, 1.2), (8, 1.3), (8, 1.4), (8, 1.5), (8, 1.6), (8, 1.7), (8, 1.8), (8, 1.9), (8, 2.0), (8, 2.1), (8, 2.2), (8, 2.3), (8, 2.4), (8, 2.5), (8, 2.6), (8, 2.7), (8, 2.8), (8, 2.9), (8, 3.0)]"
80,0,"('AS', 'DA', 'PVR', 'SAB', 'VA', 'VB')",6,1,"[(92, 1.7)]"
81,0,"('ADA', 'CEPD', 'I3', 'LUAR', 'OLL', 'VB')",6,1,"[(92, 2.2)]"
82,0,"('DA', 'DB', 'RIS', 'VA', 'VB', 'VC')",6,1,"[(92, 2.2)]"
83,0,"('DA', 'DB', 'PDB', 'RMH', 'SAB', 'VA')",6,1,"[(92, 2.7)]"
84,0,"('AS', 'DA', 'SAB', 'VA', 'VB', 'VC')",6,1,"[(46, 1.6)]"
85,0,"('AS', 'DA', 'DB', 'SIA', 'VA', 'VB')",6,3,"[(46, 2.2), (46, 2.6), (46, 3.0)]"
86,0,"('AS', 'DA', 'DB', 'DD', 'VA', 'VB')",6,1,"[(46, 2.5)]"
87,0,"('AS', 'AVF', 'DA', 'SAB', 'VA', 'VC')",6,1,"[(46, 2.5)]"
88,0,"('AS', 'DA', 'DB', 'RIR', 'VA', 'VB')",6,1,"[(31, 1.5)]"
