,parent_cluster,cluster_id,cluster_lenght,occurence,method_list
58,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'PVC')",5,40,"[(92, 1.0), (46, 0.8), (46, 1.3), (46, 1.4), (31, 1.8), (31, 1.9), (31, 2.0), (31, 2.1), (23, 1.1), (23, 1.4), (23, 1.6), (18, 0.6), (18, 0.8), (18, 0.9), (18, 1.0), (18, 1.1), (18, 1.3), (18, 1.4), (18, 1.5), (18, 1.6), (15, 0.7), (15, 0.8), (15, 0.9), (15, 1.0), (13, 1.9), (12, 0.6), (12, 0.7), (12, 1.1), (12, 2.0), (10, 1.1), (10, 1.2), (10, 1.3), (10, 1.4), (10, 1.5), (10, 2.0), (10, 2.1), (9, 0.4), (9, 1.0), (8, 0.7), (8, 0.9)]"
59,8.0,"('AIB', 'AVD', 'AVE', 'DB', 'PVC')",5,2,"[(46, 1.0), (46, 1.1)]"
60,8.0,"('AIB', 'RIA', 'RID', 'RIG', 'RMG')",5,1,"[(23, 2.8)]"
61,8.0,"('AIB', 'AVD', 'AVE', 'PVC', 'RMG')",5,2,"[(18, 1.3), (18, 1.4)]"
62,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'PVC')",5,2,"[(15, 1.4), (8, 1.7)]"
63,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'RMG')",5,3,"[(15, 2.5), (15, 2.6), (15, 2.7)]"
64,8.0,"('AVB', 'AVD', 'AVE', 'AVG', 'PVC')",5,3,"[(13, 0.5), (13, 0.6), (13, 0.7)]"
65,8.0,"('AIB', 'AVD', 'AVE', 'RIG', 'RMG')",5,2,"[(13, 2.4), (13, 2.5)]"
66,8.0,"('AVA', 'AVB', 'AVD', 'AVE', 'PVC')",5,1,"[(12, 1.6)]"
67,8.0,"('AIB', 'AVE', 'DB', 'PVC', 'RIC')",5,1,"[(10, 2.5)]"
68,8.0,"('AIN', 'AVB', 'AVE', 'DB', 'PVC')",5,1,"[(8, 1.9)]"
69,8.0,"('AIZ', 'ALA', 'AVA', 'RIV', 'RMG')",5,1,"[(8, 1.9)]"
70,8.0,"('I4', 'IL2', 'LUAR', 'NSML', 'RMG')",5,6,"[(8, 2.5), (8, 2.6), (8, 2.7), (8, 2.8), (8, 2.9), (8, 3.0)]"
71,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'RIG')",5,4,"[(8, 2.6), (8, 2.7), (8, 2.8), (8, 2.9)]"
72,8.0,"('AIB', 'AVD', 'AVE', 'DB', 'PVC', 'SAB')",6,1,"[(92, 1.8)]"
73,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC')",6,6,"[(92, 1.8), (46, 0.9), (31, 0.9), (23, 1.5), (23, 1.8), (8, 1.4)]"
74,8.0,"('AIN', 'AVD', 'M2', 'RIA', 'RIG', 'RMD')",6,1,"[(46, 2.6)]"
75,8.0,"('AIN', 'AVD', 'AVE', 'DA', 'DB', 'PVC')",6,2,"[(31, 2.0), (31, 2.1)]"
76,8.0,"('AIB', 'AIZ', 'DB', 'LUAR', 'PVC', 'SAB')",6,1,"[(23, 2.0)]"
77,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'LUAR', 'PVC')",6,2,"[(18, 1.5), (13, 1.2)]"
78,8.0,"('AIB', 'AVA', 'AVD', 'AVE', 'PVC', 'RIM')",6,2,"[(15, 1.6), (15, 1.7)]"
79,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMG')",6,9,"[(12, 1.6), (9, 0.5), (9, 0.6), (9, 0.7), (9, 0.8), (9, 0.9), (9, 1.0), (9, 1.1), (9, 1.2)]"
80,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'DB', 'PVC')",6,1,"[(12, 2.1)]"
81,8.0,"('AIB', 'AVD', 'AVE', 'PVC', 'RIB', 'RIM')",6,1,"[(12, 2.9)]"
82,8.0,"('AVA', 'AVB', 'AVD', 'AVE', 'PVC', 'RIV')",6,1,"[(10, 1.7)]"
83,8.0,"('AIB', 'AVD', 'AVE', 'AVG', 'PVC', 'RIM')",6,1,"[(9, 2.1)]"
84,8.0,"('AIB', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC')",7,1,"[(92, 1.1)]"
85,8.0,"('AVD', 'AVE', 'AVG', 'DB', 'IL2', 'PVC', 'RMG')",7,1,"[(92, 1.5)]"
86,8.0,"('AIN', 'AVA', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC')",7,5,"[(46, 2.1), (46, 2.2), (46, 2.3), (46, 2.8), (46, 2.9)]"
87,8.0,"('AIB', 'AVB', 'AVD', 'AVE', 'AVG', 'PVC', 'RMG')",7,4,"[(46, 2.4), (31, 3.0), (23, 0.9), (23, 1.3)]"
88,8.0,"('ADA', 'I3', 'MI', 'PLN', 'RIB', 'RIP', 'RIR')",7,2,"[(31, 1.5), (31, 1.7)]"
